edad,abandono,viajes,departamento,distancia_casa,educacion,carrera,satisfaccion_entorno,implicacion,nivel_laboral,puesto,satisfaccion_trabajo,estado_civil,salario_mes,num_empresas_anteriores,horas_extra,incremento_salario_porc,evaluacion,satisfaccion_companeros,nivel_acciones,anos_experiencia,num_formaciones_ult_ano,anos_compania,anos_desde_ult_promocion,anos_con_manager_actual,salario_anual,impacto_economico
34,No,Travel_Rarely,Research & Development,7,Universitaria,Life Sciences,Baja,Alta,3,Research Director,Alta,Single,11994,0,No,11,Alta,Alta,0,13,4,12,2,11,143928,30224.879999999997
21,No,Travel_Rarely,Research & Development,15,Universitaria,Life Sciences,Alta,Alta,1,Research Scientist,Alta,Single,1232,1,No,14,Alta,Muy_Alta,0,0,6,0,0,0,14784,2380.224
34,Yes,Travel_Rarely,Research & Development,6,Universitaria,Medical,Media,Alta,1,Research Scientist,Alta,Single,2960,2,No,11,Alta,Alta,0,8,2,4,1,3,35520,6997.4400000000005
53,No,Travel_Rarely,Research & Development,5,Universitaria,Other,Alta,Alta,5,Manager,Alta,Divorced,19094,4,No,11,Alta,Muy_Alta,1,26,3,14,4,8,229128,48116.88
32,Yes,Travel_Frequently,Research & Development,16,Primaria,Life Sciences,Media,Baja,1,Research Scientist,Alta,Single,3919,1,Yes,22,Muy_Alta,Media,0,10,5,10,6,7,47028,9264.516
42,No,Travel_Rarely,Sales,8,Universitaria,Marketing,Alta,Alta,2,Sales Executive,Alta,Married,6825,0,No,11,Alta,Muy_Alta,1,10,2,9,4,2,81900,17199.0
44,No,Travel_Rarely,Research & Development,7,Secundaria,Medical,Baja,Media,3,Healthcare Representative,Media,Married,10248,3,No,14,Alta,Muy_Alta,1,24,4,22,5,17,122976,25824.96
46,No,Travel_Rarely,Sales,2,Universitaria,Marketing,Media,Alta,5,Manager,Alta,Single,18947,3,No,12,Alta,Muy_Alta,0,22,2,2,2,1,227364,47746.439999999995
33,No,Travel_Rarely,Research & Development,2,Universitaria,Medical,Alta,Alta,1,Laboratory Technician,Alta,Single,2496,4,No,11,Alta,Muy_Alta,0,7,3,1,0,0,29952,4822.272
44,No,Travel_Rarely,Research & Development,10,Universitaria,Other,Muy_Alta,Alta,2,Healthcare Representative,Alta,Married,6465,2,Yes,13,Alta,Muy_Alta,0,9,5,4,1,3,77580,16291.8
30,No,Travel_Rarely,Research & Development,9,Universitaria,Medical,Muy_Alta,Alta,1,Laboratory Technician,Alta,Single,2206,1,No,13,Alta,Baja,0,10,5,10,1,8,26472,4261.992
39,Yes,Travel_Rarely,Sales,5,Universitaria,Technical Degree,Muy_Alta,Alta,2,Sales Representative,Alta,Married,2086,3,No,14,Alta,Alta,1,19,6,1,0,0,25032,4030.152
24,Yes,Travel_Rarely,Research & Development,1,Universitaria,Medical,Media,Alta,1,Research Scientist,Alta,Married,2293,2,Yes,16,Alta,Baja,1,6,2,2,2,0,27516,4430.076
43,No,Travel_Rarely,Research & Development,2,Master,Medical,Muy_Alta,Muy_Alta,1,Research Scientist,Muy_Alta,Divorced,2645,1,No,12,Alta,Muy_Alta,2,6,3,5,1,4,31740,6252.780000000001
50,Yes,Travel_Rarely,Sales,3,Secundaria,Marketing,Baja,Media,1,Sales Representative,Media,Married,2683,1,Yes,14,Alta,Alta,0,3,2,3,0,2,32196,6342.612
35,No,Travel_Rarely,Sales,2,Universitaria,Marketing,Muy_Alta,Alta,1,Sales Representative,Alta,Married,2014,1,No,13,Alta,Baja,0,2,3,2,2,2,24168,3891.0480000000002
36,No,Travel_Rarely,Research & Development,5,Secundaria,Life Sciences,Media,Media,1,Research Scientist,Media,Married,3419,9,Yes,14,Alta,Muy_Alta,1,6,3,1,0,0,41028,8082.5160000000005
33,No,Travel_Frequently,Sales,1,Master,Life Sciences,Alta,Muy_Alta,2,Sales Executive,Muy_Alta,Married,5376,2,No,19,Alta,Baja,2,10,3,5,1,3,64512,13160.447999999999
35,No,Travel_Rarely,Research & Development,4,Universitaria,Other,Alta,Alta,1,Laboratory Technician,Alta,Divorced,1951,1,No,12,Alta,Alta,1,1,3,1,0,0,23412,3769.332
27,No,Travel_Rarely,Research & Development,2,Universitaria,Life Sciences,Muy_Alta,Alta,1,Laboratory Technician,Alta,Divorced,2341,1,No,13,Alta,Muy_Alta,1,1,6,1,0,0,28092,4522.812
26,Yes,Travel_Rarely,Research & Development,25,Universitaria,Life Sciences,Baja,Baja,1,Laboratory Technician,Baja,Single,2293,1,No,12,Alta,Alta,0,1,2,1,0,1,27516,4430.076
27,No,Travel_Frequently,Sales,8,Universitaria,Life Sciences,Muy_Alta,Alta,3,Sales Executive,Alta,Single,8726,1,No,15,Alta,Muy_Alta,0,9,0,9,1,7,104712,21989.52
30,No,Travel_Frequently,Research & Development,1,Universitaria,Medical,Alta,Alta,2,Laboratory Technician,Alta,Single,4011,1,No,23,Muy_Alta,Muy_Alta,0,12,2,12,3,7,48132,9482.004
41,Yes,Travel_Rarely,Research & Development,12,Universitaria,Technical Degree,Media,Alta,5,Research Director,Alta,Married,19545,1,No,12,Alta,Muy_Alta,0,23,0,22,15,8,234540,49253.4
34,No,Non-Travel,Sales,23,Universitaria,Marketing,Media,Alta,2,Sales Executive,Alta,Single,4568,0,No,20,Muy_Alta,Alta,0,10,2,9,8,7,54816,11182.464
37,No,Travel_Rarely,Research & Development,19,Universitaria,Life Sciences,Media,Alta,1,Research Scientist,Alta,Married,3022,4,No,21,Muy_Alta,Baja,0,8,1,1,0,0,36264,7144.008000000001
46,No,Travel_Frequently,Sales,5,Universitaria,Marketing,Baja,Alta,2,Sales Executive,Alta,Single,5772,4,Yes,21,Muy_Alta,Alta,0,14,4,9,0,8,69264,14129.856
35,No,Travel_Rarely,Research & Development,8,Master,Life Sciences,Muy_Alta,Muy_Alta,1,Laboratory Technician,Muy_Alta,Married,2269,1,No,19,Alta,Muy_Alta,0,1,2,1,0,1,27228,4383.7080000000005
48,Yes,Travel_Rarely,Research & Development,1,Secundaria,Life Sciences,Baja,Media,3,Laboratory Technician,Media,Single,5381,9,Yes,13,Alta,Muy_Alta,0,23,2,1,0,0,64572,13172.687999999998
28,Yes,Travel_Rarely,Research & Development,5,Universitaria,Technical Degree,Alta,Alta,1,Laboratory Technician,Alta,Single,3441,1,Yes,13,Alta,Alta,0,2,3,2,2,2,41292,8134.524
44,No,Travel_Rarely,Sales,1,Universitaria,Marketing,Media,Alta,2,Sales Executive,Alta,Divorced,5454,5,Yes,21,Muy_Alta,Alta,1,9,2,4,1,3,65448,13351.392
35,No,Non-Travel,Research & Development,11,Universitaria,Medical,Alta,Media,3,Healthcare Representative,Media,Married,9884,2,Yes,13,Alta,Alta,1,10,3,4,2,3,118608,24907.68
26,No,Travel_Rarely,Sales,23,Secundaria,Marketing,Alta,Media,2,Sales Executive,Media,Married,4157,7,Yes,19,Alta,Alta,1,5,2,2,0,0,49884,9827.148000000001
33,No,Travel_Frequently,Research & Development,1,Universitaria,Life Sciences,Baja,Alta,3,Research Director,Alta,Single,13458,1,Yes,12,Alta,Alta,0,15,1,15,8,12,161496,33914.159999999996
35,No,Travel_Frequently,Sales,18,Universitaria,Life Sciences,Media,Alta,3,Sales Executive,Alta,Married,9069,1,No,22,Muy_Alta,Muy_Alta,1,9,3,9,1,8,108828,22853.879999999997
35,No,Travel_Rarely,Research & Development,23,Universitaria,Medical,Alta,Alta,1,Laboratory Technician,Alta,Married,4014,3,Yes,15,Alta,Alta,1,4,3,2,2,2,48168,9489.096
31,No,Travel_Rarely,Research & Development,7,Universitaria,Life Sciences,Muy_Alta,Alta,2,Laboratory Technician,Alta,Divorced,5915,3,No,22,Muy_Alta,Muy_Alta,1,10,3,7,1,7,70980,14479.919999999998
37,No,Travel_Rarely,Research & Development,1,Universitaria,Life Sciences,Baja,Media,2,Manufacturing Director,Media,Divorced,5993,1,No,18,Alta,Alta,1,7,2,7,0,7,71916,14670.864
32,No,Travel_Rarely,Research & Development,1,Universitaria,Medical,Baja,Alta,2,Manufacturing Director,Alta,Married,6162,1,Yes,22,Muy_Alta,Media,1,9,3,9,7,8,73944,15084.576
38,No,Travel_Frequently,Research & Development,29,Universitaria,Life Sciences,Muy_Alta,Alta,2,Laboratory Technician,Alta,Single,2406,1,No,11,Alta,Muy_Alta,0,10,2,10,9,9,28872,4648.392
50,No,Travel_Rarely,Research & Development,7,Secundaria,Medical,Media,Media,5,Research Director,Media,Divorced,18740,5,Yes,12,Alta,Muy_Alta,1,29,2,27,13,8,224880,47224.799999999996
59,No,Travel_Rarely,Sales,25,Universitaria,Life Sciences,Baja,Alta,3,Sales Executive,Alta,Single,7637,7,No,11,Alta,Muy_Alta,0,28,3,21,7,9,91644,19245.239999999998
36,No,Travel_Rarely,Research & Development,8,Universitaria,Technical Degree,Alta,Alta,3,Healthcare Representative,Alta,Divorced,10096,1,No,13,Alta,Media,3,17,2,17,12,8,121152,25441.92
55,No,Travel_Rarely,Research & Development,8,Universitaria,Medical,Muy_Alta,Alta,4,Manager,Alta,Divorced,14756,2,Yes,14,Alta,Alta,3,21,2,5,0,2,177072,37185.119999999995
36,No,Travel_Frequently,Research & Development,11,Universitaria,Life Sciences,Media,Alta,2,Manufacturing Director,Alta,Single,6499,1,No,13,Alta,Alta,0,6,3,6,0,3,77988,16377.48
45,No,Travel_Rarely,Research & Development,7,Universitaria,Life Sciences,Media,Alta,3,Research Scientist,Alta,Divorced,9724,2,No,17,Alta,Alta,1,25,2,1,0,0,116688,24504.48
35,No,Travel_Frequently,Research & Development,1,Universitaria,Medical,Media,Alta,1,Research Scientist,Alta,Married,2194,4,No,13,Alta,Muy_Alta,1,5,2,3,1,2,26328,4238.808
36,Yes,Travel_Rarely,Research & Development,9,Secundaria,Medical,Muy_Alta,Media,1,Research Scientist,Media,Married,3388,0,Yes,17,Alta,Baja,1,2,0,1,0,0,40656,8009.232
59,No,Travel_Frequently,Sales,1,Secundaria,Life Sciences,Baja,Media,2,Sales Executive,Media,Single,5473,7,No,11,Alta,Muy_Alta,0,20,2,4,1,3,65676,13397.903999999999
29,No,Travel_Rarely,Research & Development,2,Universitaria,Life Sciences,Alta,Alta,1,Research Scientist,Alta,Married,2703,0,No,23,Muy_Alta,Muy_Alta,1,6,3,5,0,4,32436,6389.892
31,No,Travel_Rarely,Research & Development,1,Universitaria,Medical,Alta,Alta,1,Research Scientist,Alta,Single,2501,1,No,17,Alta,Media,0,1,4,1,1,0,30012,5912.3640000000005
32,No,Travel_Rarely,Research & Development,1,Universitaria,Life Sciences,Media,Alta,2,Research Scientist,Alta,Married,6220,1,No,17,Alta,Media,2,10,3,10,0,9,74640,15226.56
36,No,Travel_Rarely,Research & Development,6,Master,Life Sciences,Media,Muy_Alta,1,Laboratory Technician,Muy_Alta,Married,3038,3,No,12,Alta,Media,0,5,3,1,0,0,36456,7181.832
31,No,Travel_Rarely,Research & Development,8,Universitaria,Life Sciences,Alta,Alta,2,Manufacturing Director,Alta,Single,4424,1,No,23,Muy_Alta,Muy_Alta,0,11,2,11,1,8,53088,10829.952
35,No,Travel_Rarely,Sales,1,Secundaria,Marketing,Alta,Media,2,Sales Executive,Media,Single,4312,0,No,14,Alta,Media,0,16,2,15,2,8,51744,10555.776
45,No,Travel_Rarely,Research & Development,6,Universitaria,Other,Muy_Alta,Alta,3,Research Director,Alta,Married,13245,4,Yes,14,Alta,Media,0,17,3,0,0,0,158940,33377.4
37,No,Travel_Rarely,Research & Development,7,Universitaria,Medical,Baja,Alta,3,Research Director,Alta,Single,13664,4,No,13,Alta,Baja,0,16,3,5,0,2,163968,34433.28
46,No,Travel_Rarely,Human Resources,5,Universitaria,Medical,Media,Alta,2,Human Resources,Alta,Divorced,5021,8,Yes,22,Muy_Alta,Muy_Alta,1,16,2,4,0,2,60252,12291.408
30,No,Travel_Rarely,Research & Development,1,Secundaria,Life Sciences,Muy_Alta,Media,2,Laboratory Technician,Media,Married,5126,1,Yes,12,Alta,Alta,2,10,1,10,3,0,61512,12548.447999999999
35,No,Travel_Rarely,Research & Development,1,Secundaria,Medical,Media,Media,1,Research Scientist,Media,Single,2859,1,No,18,Alta,Baja,0,6,3,6,0,4,34308,6758.676
55,No,Travel_Rarely,Sales,1,Universitaria,Life Sciences,Baja,Alta,3,Sales Executive,Alta,Married,10239,3,No,14,Alta,Muy_Alta,1,24,4,1,1,0,122868,25802.28
38,No,Non-Travel,Research & Development,6,Primaria,Medical,Media,Baja,2,Research Scientist,Baja,Divorced,5329,7,Yes,12,Alta,Muy_Alta,3,17,3,13,1,9,63948,13045.392
34,No,Travel_Rarely,Research & Development,1,Universitaria,Medical,Baja,Alta,2,Manufacturing Director,Alta,Married,4325,1,No,15,Alta,Alta,0,5,2,5,1,3,51900,10587.599999999999
56,No,Travel_Rarely,Research & Development,7,Primaria,Life Sciences,Muy_Alta,Baja,3,Manufacturing Director,Baja,Single,7260,4,No,11,Alta,Baja,0,37,3,6,0,2,87120,18295.2
23,No,Travel_Rarely,Sales,2,Universitaria,Technical Degree,Alta,Alta,1,Sales Representative,Alta,Divorced,2322,3,No,13,Alta,Alta,1,3,3,0,0,0,27864,4486.104
51,No,Travel_Rarely,Research & Development,9,Universitaria,Life Sciences,Muy_Alta,Alta,1,Laboratory Technician,Alta,Married,2075,3,No,23,Muy_Alta,Media,2,10,4,4,0,3,24900,4008.9
30,No,Travel_Rarely,Research & Development,2,Secundaria,Life Sciences,Alta,Media,2,Healthcare Representative,Media,Married,4152,1,No,19,Alta,Baja,3,11,3,11,10,8,49824,9815.328
46,Yes,Travel_Rarely,Sales,9,Secundaria,Medical,Alta,Media,3,Sales Executive,Media,Single,9619,1,No,16,Alta,Muy_Alta,0,9,3,9,4,7,115428,24239.879999999997
40,No,Travel_Frequently,Research & Development,1,Secundaria,Life Sciences,Alta,Media,4,Healthcare Representative,Media,Married,13503,1,No,22,Muy_Alta,Muy_Alta,1,22,3,22,11,11,162036,34027.56
51,No,Travel_Rarely,Sales,21,Universitaria,Marketing,Alta,Alta,2,Sales Executive,Alta,Single,5441,0,Yes,22,Muy_Alta,Muy_Alta,0,11,2,10,1,0,65292,13319.568
30,No,Travel_Rarely,Sales,4,Secundaria,Medical,Alta,Media,2,Sales Executive,Media,Divorced,5209,1,Yes,12,Alta,Media,3,11,4,11,2,7,62508,12751.632
46,No,Travel_Frequently,Research & Development,1,Secundaria,Medical,Alta,Media,3,Healthcare Representative,Media,Married,10673,2,Yes,13,Alta,Alta,1,21,5,10,9,5,128076,26895.96
32,No,Travel_Rarely,Sales,6,Universitaria,Medical,Media,Alta,2,Sales Executive,Alta,Single,5010,1,No,16,Alta,Baja,0,12,0,11,5,7,60120,12264.48
54,No,Travel_Rarely,Research & Development,2,Universitaria,Technical Degree,Baja,Alta,3,Research Director,Alta,Married,13549,9,No,12,Alta,Baja,1,16,5,4,0,3,162588,34143.479999999996
24,No,Travel_Rarely,Sales,3,Universitaria,Other,Baja,Alta,2,Sales Executive,Alta,Married,4999,0,No,21,Muy_Alta,Baja,1,4,2,3,0,2,59988,12237.552
28,No,Non-Travel,Sales,4,Universitaria,Medical,Media,Alta,2,Sales Executive,Alta,Married,4221,1,No,15,Alta,Media,0,5,3,5,0,4,50652,10333.008
58,No,Travel_Rarely,Sales,10,Universitaria,Medical,Muy_Alta,Alta,4,Sales Executive,Alta,Single,13872,0,No,13,Alta,Alta,0,38,1,37,1,8,166464,34957.44
44,No,Non-Travel,Research & Development,23,Universitaria,Medical,Media,Alta,2,Laboratory Technician,Alta,Married,2042,4,No,12,Alta,Alta,1,17,3,3,1,2,24504,3945.1440000000002
37,Yes,Travel_Rarely,Human Resources,6,Universitaria,Human Resources,Alta,Alta,1,Human Resources,Alta,Divorced,2073,4,Yes,22,Muy_Alta,Muy_Alta,0,7,3,3,0,2,24876,4005.036
32,No,Travel_Rarely,Research & Development,1,Universitaria,Life Sciences,Muy_Alta,Alta,1,Research Scientist,Alta,Single,2956,1,No,13,Alta,Muy_Alta,0,1,2,1,0,0,35472,6987.984
20,Yes,Travel_Frequently,Research & Development,6,Secundaria,Life Sciences,Muy_Alta,Media,1,Laboratory Technician,Media,Single,2926,1,Yes,18,Alta,Media,0,1,5,1,1,0,35112,6917.064
34,No,Travel_Rarely,Research & Development,6,Universitaria,Other,Baja,Alta,2,Research Scientist,Alta,Single,4809,1,No,14,Alta,Alta,0,16,3,16,2,10,57708,11772.431999999999
37,No,Non-Travel,Research & Development,2,Universitaria,Life Sciences,Alta,Media,2,Healthcare Representative,Media,Divorced,5163,5,No,14,Alta,Muy_Alta,1,17,2,1,0,0,61956,12639.024
59,No,Non-Travel,Human Resources,2,Secundaria,Human Resources,Alta,Media,5,Manager,Media,Married,18844,9,No,21,Muy_Alta,Muy_Alta,1,30,3,3,2,2,226128,47486.88
50,No,Travel_Frequently,Research & Development,1,Universitaria,Life Sciences,Baja,Alta,5,Research Director,Alta,Married,18172,3,Yes,19,Alta,Baja,0,28,1,8,0,7,218064,45793.439999999995
25,Yes,Travel_Rarely,Sales,5,Secundaria,Marketing,Alta,Media,2,Sales Executive,Media,Single,5744,1,Yes,11,Alta,Muy_Alta,0,6,1,6,0,3,68928,14061.312
25,No,Travel_Rarely,Research & Development,7,Secundaria,Medical,Muy_Alta,Media,1,Research Scientist,Media,Married,2889,1,No,11,Alta,Alta,2,2,2,2,2,1,34668,6829.5960000000005
22,No,Travel_Rarely,Research & Development,15,Universitaria,Medical,Media,Alta,1,Laboratory Technician,Alta,Single,2871,1,No,15,Alta,Alta,0,1,5,0,0,0,34452,6787.044
51,No,Travel_Frequently,Research & Development,1,Secundaria,Medical,Baja,Media,3,Healthcare Representative,Alta,Single,7484,3,No,20,Muy_Alta,Alta,0,23,1,13,12,8,89808,18859.68
34,Yes,Travel_Frequently,Research & Development,7,Primaria,Life Sciences,Baja,Baja,2,Laboratory Technician,Baja,Single,6074,1,Yes,24,Muy_Alta,Muy_Alta,0,9,3,9,0,6,72888,14869.151999999998
54,No,Non-Travel,Human Resources,26,Master,Human Resources,Muy_Alta,Muy_Alta,4,Manager,Muy_Alta,Single,17328,2,Yes,12,Alta,Alta,0,23,3,5,4,4,207936,43666.56
24,No,Travel_Rarely,Research & Development,18,Universitaria,Life Sciences,Media,Alta,1,Laboratory Technician,Alta,Married,2774,0,No,12,Alta,Alta,1,6,2,5,1,2,33288,6557.736
34,No,Travel_Rarely,Research & Development,6,Secundaria,Life Sciences,Alta,Media,2,Research Scientist,Media,Divorced,4505,6,No,15,Alta,Alta,1,12,3,1,0,0,54060,11028.24
37,No,Travel_Rarely,Sales,3,Universitaria,Life Sciences,Alta,Alta,3,Sales Executive,Alta,Single,7428,2,No,12,Alta,Baja,0,12,3,5,1,3,89136,18718.559999999998
34,No,Travel_Rarely,Research & Development,5,Secundaria,Medical,Alta,Media,3,Manager,Media,Single,11631,2,No,12,Alta,Muy_Alta,0,14,6,11,5,8,139572,29310.12
36,No,Travel_Frequently,Sales,11,Universitaria,Technical Degree,Media,Alta,3,Sales Executive,Alta,Married,9738,0,No,14,Alta,Alta,1,10,6,9,2,8,116856,24539.76
36,No,Travel_Rarely,Research & Development,3,Universitaria,Life Sciences,Baja,Alta,1,Laboratory Technician,Alta,Divorced,2835,5,No,22,Muy_Alta,Baja,1,7,2,1,0,0,34020,6701.9400000000005
43,No,Travel_Frequently,Sales,26,Universitaria,Life Sciences,Alta,Alta,4,Manager,Alta,Married,16959,1,Yes,12,Alta,Muy_Alta,2,25,3,25,4,12,203508,42736.68
30,No,Travel_Frequently,Research & Development,23,Primaria,Life Sciences,Baja,Baja,1,Research Scientist,Baja,Divorced,2613,1,No,25,Muy_Alta,Alta,3,10,2,10,0,9,31356,6177.1320000000005
33,No,Non-Travel,Sales,22,Universitaria,Marketing,Alta,Alta,2,Sales Executive,Alta,Married,6146,0,No,13,Alta,Baja,1,8,2,7,0,7,73752,15045.408
56,Yes,Travel_Rarely,Research & Development,14,Universitaria,Life Sciences,Media,Alta,1,Research Scientist,Alta,Married,4963,9,Yes,18,Alta,Baja,3,7,2,5,4,3,59556,12149.423999999999
51,No,Travel_Rarely,Research & Development,6,Universitaria,Life Sciences,Baja,Alta,5,Research Director,Alta,Single,19537,7,No,13,Alta,Alta,0,23,5,20,15,15,234444,49233.24
31,Yes,Travel_Rarely,Sales,6,Primaria,Life Sciences,Media,Baja,2,Sales Executive,Baja,Married,6172,4,Yes,18,Alta,Media,0,12,3,7,7,7,74064,15109.055999999999
26,No,Travel_Rarely,Research & Development,6,Secundaria,Other,Alta,Media,1,Research Scientist,Media,Married,2368,1,No,19,Alta,Alta,0,5,3,5,4,3,28416,4574.976000000001
58,Yes,Travel_Rarely,Research & Development,23,Universitaria,Medical,Muy_Alta,Alta,3,Healthcare Representative,Alta,Married,10312,1,No,12,Alta,Muy_Alta,1,40,3,40,15,6,123744,25986.239999999998
19,Yes,Travel_Rarely,Sales,22,Universitaria,Marketing,Muy_Alta,Alta,1,Sales Representative,Alta,Single,1675,1,Yes,19,Alta,Muy_Alta,0,0,2,0,0,0,20100,3236.1
22,No,Travel_Rarely,Research & Development,2,Universitaria,Technical Degree,Alta,Alta,1,Laboratory Technician,Alta,Married,2523,0,No,14,Alta,Alta,1,3,2,2,2,1,30276,5964.372
49,No,Travel_Rarely,Research & Development,20,Universitaria,Medical,Alta,Alta,2,Manufacturing Director,Alta,Married,6567,1,No,14,Alta,Alta,0,16,2,15,5,11,78804,16548.84
43,No,Travel_Frequently,Research & Development,28,Master,Medical,Media,Muy_Alta,1,Research Scientist,Muy_Alta,Single,4739,4,No,12,Alta,Muy_Alta,0,18,2,3,1,2,56868,11601.072
50,No,Travel_Frequently,Sales,12,Universitaria,Marketing,Alta,Alta,3,Sales Executive,Alta,Single,9208,4,No,11,Alta,Muy_Alta,0,16,3,2,2,1,110496,23204.16
31,Yes,Travel_Rarely,Sales,20,Primaria,Life Sciences,Media,Baja,2,Sales Executive,Baja,Married,4559,3,Yes,11,Alta,Alta,1,4,2,2,2,2,54708,11160.431999999999
41,No,Travel_Rarely,Sales,9,Universitaria,Life Sciences,Alta,Alta,3,Sales Executive,Alta,Divorced,8189,3,Yes,13,Alta,Alta,1,12,2,9,0,7,98268,20636.28
26,No,Travel_Rarely,Human Resources,25,Universitaria,Life Sciences,Alta,Alta,1,Human Resources,Alta,Married,2942,1,No,23,Muy_Alta,Muy_Alta,1,8,3,8,5,7,35304,6954.888
36,No,Travel_Rarely,Research & Development,6,Universitaria,Medical,Media,Alta,2,Manufacturing Director,Alta,Divorced,4941,6,No,20,Muy_Alta,Muy_Alta,2,7,0,3,0,1,59292,12095.568
51,Yes,Travel_Frequently,Research & Development,8,Primaria,Life Sciences,Baja,Baja,3,Manufacturing Director,Baja,Single,10650,2,No,15,Alta,Muy_Alta,0,18,2,4,0,3,127800,26838.0
39,No,Travel_Rarely,Sales,4,Secundaria,Life Sciences,Muy_Alta,Media,2,Sales Executive,Media,Married,5902,4,No,14,Alta,Alta,1,17,1,15,5,9,70824,14448.096
